t; x; y; theta
9715320.871000; 0.03; 0.00; 0.00
9731229.527000; 0.02; 0.00; 0.00
9746324.881000; 0.02; 0.00; 0.00
9762355.829000; 0.02; 0.00; 0.00
9778346.409000; 0.01; 0.00; 0.00
9794231.319000; 0.01; 0.00; 0.00
9810351.314000; 0.00; 0.00; 0.00
9826278.967000; -0.00; 0.00; 0.00
9842171.001000; -0.00; 0.00; 0.00
9858260.127000; -0.01; 0.00; 0.00
9873849.399000; -0.01; 0.00; 0.00
9890132.055000; -0.02; 0.00; 0.00
9906457.454000; -0.02; 0.00; 0.00
9922573.887000; -0.03; 0.00; 0.00
9938759.185000; -0.03; 0.00; 0.00
9954360.329000; -0.03; 0.00; 0.00
9970331.912000; -0.04; 0.00; 0.00
9986611.007000; -0.04; 0.00; 0.00
10002373.624000; -0.05; 0.00; 0.00
10019436.338000; -0.05; 0.00; 0.00
10035683.375000; -0.05; 0.00; 0.00
10051336.761000; -0.06; 0.00; 0.00
10066895.163000; -0.06; 0.00; 0.00
10082536.676000; -0.07; 0.00; 0.00
10098636.487000; -0.07; 0.00; 0.00
10114906.083000; -0.08; 0.00; 0.00
10130494.168000; -0.08; 0.00; 0.00
10146450.316000; -0.08; 0.00; 0.00
10162879.010000; -0.09; 0.00; 0.00
10178495.590000; -0.09; 0.00; 0.00
10194578.779000; -0.10; 0.00; 0.00
10210911.302000; -0.10; 0.00; 0.00
10226079.081000; -0.10; 0.00; 0.00
10241991.299000; -0.11; 0.00; 0.00
10258123.168000; -0.11; 0.00; 0.00
10274097.126000; -0.12; 0.00; 0.00
10289821.750000; -0.12; 0.00; 0.00
10306288.438000; -0.13; 0.00; 0.00
10324826.967000; -0.13; 0.00; 0.00
10340742.747000; -0.12; 0.00; 0.00
10356354.577000; -0.12; 0.00; 0.00
10371702.827000; -0.12; 0.00; 0.00
10387512.937000; -0.11; 0.00; 0.00
10402859.999000; -0.11; 0.00; 0.00
10418325.791000; -0.11; 0.00; 0.00
10434140.651000; -0.10; 0.00; 0.00
10449822.532000; -0.10; 0.00; 0.00
10466480.375000; -0.09; 0.00; 0.00
10482584.936000; -0.09; 0.00; 0.00
10498036.481000; -0.09; 0.00; 0.00
10514478.235000; -0.08; 0.00; 0.00
10530699.152000; -0.08; 0.00; 0.00
10546561.503000; -0.07; 0.00; 0.00
10562439.289000; -0.07; 0.00; 0.00
10578352.694000; -0.07; 0.00; 0.00
10594936.925000; -0.06; 0.00; 0.00
10610137.949000; -0.06; 0.00; 0.00
10626018.110000; -0.06; 0.00; 0.00
10641815.160000; -0.05; 0.00; 0.00
10660553.156000; -0.05; 0.00; 0.00
10676282.529000; -0.04; 0.00; 0.00
10691918.106000; -0.04; 0.00; 0.00
10707607.111000; -0.04; 0.00; 0.00
10723456.402000; -0.03; 0.00; 0.00
10739384.054000; -0.03; 0.00; 0.00
10756008.653000; -0.02; 0.00; 0.00
10771354.528000; -0.02; 0.00; 0.00
10788221.337000; -0.02; 0.00; 0.00
10804858.996000; -0.01; 0.00; 0.00
10821477.658000; -0.01; 0.00; 0.00
10833824.409000; -0.01; 0.00; 0.00
10850361.148000; -0.00; 0.00; 0.00
10866585.626000; 0.00; 0.00; 0.00
10882496.657000; 0.01; 0.00; 0.00
10901524.354000; 0.01; 0.00; 0.00
10913665.702000; 0.01; 0.00; 0.00
10933524.511000; 0.02; 0.00; 0.00
10949177.897000; 0.02; 0.00; 0.00
10962402.064000; 0.03; 0.00; 0.00
10978490.002000; 0.03; 0.00; 0.00
10994129.141000; 0.03; 0.00; 0.00
11009839.517000; 0.04; 0.00; 0.00
11026411.875000; 0.04; 0.00; 0.00
11042123.439000; 0.04; 0.00; 0.00
11058560.444000; 0.05; 0.00; 0.00
11074959.456000; 0.05; 0.00; 0.00
11090488.175000; 0.06; 0.00; 0.00
11106585.612000; 0.06; 0.00; 0.00
11122413.532000; 0.06; 0.00; 0.00
11140714.601000; 0.07; 0.00; 0.00
11156679.060000; 0.07; 0.00; 0.00
11172389.436000; 0.08; 0.00; 0.00
11189271.680000; 0.08; 0.00; 0.00
11202644.259000; 0.08; 0.00; 0.00
11218266.775000; 0.09; 0.00; 0.00
11234535.184000; 0.09; 0.00; 0.00
11250599.376000; 0.09; 0.00; 0.00
11266346.559000; 0.10; 0.00; 0.00
11282557.977000; 0.10; 0.00; 0.00
11298629.294000; 0.11; 0.00; 0.00
11314895.327000; 0.11; 0.00; 0.00
11330045.298000; 0.11; 0.00; 0.00
11346297.084000; 0.10; 0.00; 0.00
11362325.657000; 0.10; 0.00; 0.00
11378564.383000; 0.10; 0.00; 0.00
11394615.515000; 0.10; 0.00; 0.00
11411191.435000; 0.09; 0.00; 0.00
11426282.040000; 0.09; 0.00; 0.00
11441874.874000; 0.09; 0.00; 0.00
11457750.285000; 0.08; 0.00; 0.00
11476514.402000; 0.08; 0.00; 0.00
11492715.134000; 0.08; 0.00; 0.00
11508190.425000; 0.07; 0.00; 0.00
11523767.824000; 0.07; 0.00; 0.00
11539390.340000; 0.07; 0.00; 0.00
11555193.326000; 0.06; 0.00; 0.00
11570622.312000; 0.06; 0.00; 0.00
11587540.175000; 0.06; 0.00; 0.00
11603185.250000; 0.05; 0.00; 0.00
11618510.941000; 0.05; 0.00; 0.00
11634636.873000; 0.05; 0.00; 0.00
11651468.062000; 0.04; 0.00; 0.00
11667354.159000; 0.04; 0.00; 0.00
11683564.390000; 0.04; 0.00; 0.00
11699204.716000; 0.03; 0.00; 0.00
11715489.747000; 0.03; 0.00; 0.00
11730693.145000; 0.03; 0.00; 0.00
11746933.058000; 0.02; 0.00; 0.00
11762530.641000; 0.02; 0.00; 0.00
11778320.567000; 0.02; 0.00; 0.00
11794516.550000; 0.02; 0.00; 0.00
11810565.308000; 0.01; 0.00; 0.00
11826215.132000; 0.01; 0.00; 0.00
11841748.601000; 0.01; 0.00; 0.00
11860085.289000; 0.00; 0.00; 0.00
11875055.976000; -0.00; 0.00; 0.00
11890788.912000; -0.00; 0.00; 0.00
11906588.336000; -0.01; 0.00; 0.00
11922607.411000; -0.01; 0.00; 0.00
11937859.489000; -0.01; 0.00; 0.00
